pygame-ce 2.4.1 (SDL 2.28.5, Python 3.10.12)
         19404691 function calls (19397785 primitive calls) in 10.526 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.000    0.000    0.000    0.000 sre_compile.py:435(_mk_bitmap)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1204(setResultsName)
  197/152    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
      751    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
    77/62    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
  411/293    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
     1868    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
       26    0.000    0.000    0.000    0.000 core.py:6860(getdoc)
        1    0.000    0.000    0.000    0.000 pkgdata.py:45(getResource)
      485    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.000    0.000 difflib.py:1(<module>)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      556    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
     1888    0.000    0.000    0.000    0.000 version.py:432(_parse_local_version)
       36    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
     10/9    0.000    0.000    0.000    0.000 posixpath.py:401(_joinrealpath)
     1584    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      751    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
      144    0.000    0.000    0.000    0.000 sre_parse.py:296(_class_escape)
    87/79    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2368(__init__)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4230(__init__)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      471    0.000    0.000    0.000    0.000 copyreg.py:100(__newobj__)
     2393    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      728    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        1    0.000    0.000    0.000    0.000 _manylinux.py:1(<module>)
     2176    0.000    0.000    0.000    0.000 version.py:459(<lambda>)
       39    0.000    0.000    0.000    0.000 typing.py:284(_flatten_literal_params)
       63    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      144    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
      150    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
    371/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
      519    0.000    0.000    0.000    0.000 __init__.py:2399(_nonblank)
       23    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
       53    0.000    0.000    0.000    0.000 __init__.py:1891(has_metadata)
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        2    0.000    0.000    0.000    0.000 pyparsing.py:2863(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4681(originalTextFor)
     1528    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
  757/534    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       41    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 encoders.py:1(<module>)
       14    0.000    0.000    0.000    0.000 pyparsing.py:2026(__call__)
      581    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
     1919    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      208    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
     1919    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
       10    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
     1174    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       14    0.000    0.000    0.000    0.000 re.py:222(split)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
        1    0.000    0.000    0.000    0.000 dataclasses.py:527(_init_fn)
       38    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
       19    0.000    0.000    0.000    0.000 Main.py:188(move_camera)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
      175    0.000    0.000    0.000    0.000 functools.py:818(dispatch)
        1    0.000    0.000    0.000    0.000 __init__.py:3010(DistInfoDistribution)
   112/86    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
       50    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
      174    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
     1106    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:344(get_provider)
        1    0.000    0.000    0.000    0.000 _musllinux.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(resource_exists)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3353(setResultsName)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       26    0.000    0.000    0.000    0.000 linecache.py:52(checkcache)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
      430    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
     1545    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        5    0.000    0.000    0.000    0.000 typing.py:1194(__getitem__)
      170    0.000    0.000    0.000    0.000 pyparsing.py:3439(<genexpr>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      401    0.000    0.000    0.000    0.000 ntpath.py:35(_get_bothseps)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      270    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       90    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      205    0.000    0.000    0.000    0.000 enum.py:678(__new__)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      141    0.000    0.000    0.000    0.000 __init__.py:2302(fixup_namespace_packages)
        2    0.000    0.000    0.000    0.000 __init__.py:1583(__init__)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      241    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 inspect.py:3206(__str__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1877(__mul__)
        1    0.000    0.000    0.000    0.000 dataclasses.py:598(_frozen_get_del_attr)
      331    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      950    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.000    0.000 textwrap.py:422(dedent)
       10    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
     1932    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      407    0.000    0.000    0.000    0.000 pyparsing.py:3581(<genexpr>)
      491    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
       15    0.000    0.000    0.000    0.000 abc.py:110(register)
      614    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       28    0.000    0.000    0.000    0.000 pyparsing.py:3997(__init__)
        8    0.000    0.000    0.000    0.000 inspect.py:2721(__str__)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1926(makeOptionalList)
       15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
  112/108    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
    43/17    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
       45    0.000    0.000    0.000    0.000 typing.py:1234(<genexpr>)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       66    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
        9    0.000    0.000    0.000    0.000 inspect.py:1349(formatannotation)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
      180    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
    43/17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      220    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        4    0.000    0.000    0.000    0.000 typing.py:1208(__getitem_inner__)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       65    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
      713    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:1587(_setup_prefix)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
       34    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
      619    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        3    0.000    0.000    0.000    0.000 Main.py:40(load_mtl)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
     1706    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       52    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
        1    0.000    0.000    0.000    0.000 inspect.py:3252(signature)
        1    0.000    0.000    0.000    0.000 __init__.py:1139(resource_stream)
        1    0.000    0.000    0.000    0.000 inspect.py:2998(from_callable)
      306    0.000    0.000    0.000    0.000 __init__.py:1934(__init__)
      528    0.000    0.000    0.000    0.000 version.py:344(local)
      2/1    0.000    0.000    0.000    0.000 inspect.py:2375(_signature_from_callable)
       72    0.000    0.000    0.000    0.000 codecs.py:319(decode)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
       16    0.000    0.000    0.000    0.000 __init__.py:1967(find_distributions)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      205    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
        1    0.000    0.000    0.000    0.000 expat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 __init__.py:3245(_initialize)
        1    0.000    0.000    0.000    0.000 sprite.py:97(Sprite)
      175    0.000    0.000    0.000    0.000 weakref.py:415(__getitem__)
       28    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2045(suppress)
        8    0.000    0.000    0.000    0.000 enum.py:980(__or__)
      514    0.000    0.000    0.000    0.000 version.py:321(epoch)
      531    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
      468    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
      133    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
      6/5    0.000    0.000    0.000    0.000 pyparsing.py:4003(parseImpl)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        2    0.000    0.000    0.000    0.000 typing.py:2338(__new__)
       90    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      234    0.000    0.000    0.000    0.000 typing.py:1278(__eq__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4450(delimitedList)
       21    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
       14    0.000    0.000    0.000    0.000 __init__.py:3250(<genexpr>)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1677(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 dataclasses.py:587(_repr_fn)
     1010    0.000    0.000    0.000    0.000 __init__.py:2109(__bool__)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      134    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
        4    0.000    0.000    0.000    0.000 typing.py:1188(copy_with)
      682    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
      514    0.000    0.000    0.000    0.000 version.py:331(pre)
      547    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
      506    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      180    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
       22    0.000    0.000    0.000    0.000 pyparsing.py:2813(parseImpl)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
      272    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      514    0.000    0.000    0.000    0.000 version.py:336(post)
        1    0.000    0.000    0.000    0.000 specifiers.py:638(SpecifierSet)
        9    0.000    0.000    0.000    0.000 typing.py:801(__init__)
       10    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       90    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
       36    0.000    0.000    0.000    0.000 pyparsing.py:3781(__str__)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2765(Regex)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
       36    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
      645    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      108    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      198    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      112    0.000    0.000    0.000    0.000 pyparsing.py:363(__new__)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
      514    0.000    0.000    0.000    0.000 version.py:326(release)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       20    0.000    0.000    0.000    0.000 mixins.py:16(_binary_method)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x78d5da07fa30}
      939    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      133    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       28    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
        1    0.000    0.000    0.000    0.000 dataclasses.py:623(_cmp_fn)
      514    0.000    0.000    0.000    0.000 version.py:340(dev)
      142    0.000    0.000    0.000    0.000 __init__.py:658(__iter__)
        9    0.000    0.000    0.000    0.000 posixpath.py:377(abspath)
        2    0.000    0.000    0.000    0.000 enum.py:937(_missing_)
       18    0.000    0.000    0.000    0.000 __init__.py:1569(_parents)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3851(__init__)
      480    0.000    0.000    0.000    0.000 typing.py:560(<genexpr>)
       35    0.000    0.000    0.000    0.000 pyparsing.py:2742(__str__)
        1    0.000    0.000    0.000    0.000 specifiers.py:39(BaseSpecifier)
      102    0.000    0.000    0.000    0.000 typing.py:1053(<genexpr>)
        2    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:65(_DTypeDictBase)
      133    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp1252.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os.py:44(_get_exports_list)
      243    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        7    0.000    0.000    0.000    0.000 typing.py:2249(<dictcomp>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:2280(_signature_from_function)
        4    0.000    0.000    0.000    0.000 typing.py:1549(__init_subclass__)
       35    0.000    0.000    0.000    0.000 sre_parse.py:259(getwhile)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 __init__.py:1395(has_resource)
      640    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       82    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       18    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 colordict.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       33    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
      339    0.000    0.000    0.000    0.000 pyparsing.py:2159(streamline)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:3168(_find_adapter)
      213    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 sysconfig.py:164(_safe_realpath)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
       90    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      183    0.000    0.000    0.000    0.000 typing.py:1272(_value_and_type_iter)
      276    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 tokenize.py:390(open)
       21    0.000    0.000    0.000    0.000 pyparsing.py:2707(parseImpl)
        1    0.000    0.000    0.000    0.000 cursors.py:1(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1841(__radd__)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 specifiers.py:97(_IndividualSpecifier)
       72    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 numerictypes.py:589(_register_types)
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
        8    0.000    0.000    0.000    0.000 dataclasses.py:722(_get_field)
        1    0.000    0.000    0.000    0.000 dataclasses.py:842(_hash_add)
       15    0.000    0.000    0.000    0.000 os.py:675(__getitem__)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3935(__init__)
       16    0.000    0.000    0.000    0.000 posixpath.py:100(split)
      134    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       16    0.000    0.000    0.000    0.000 pkgutil.py:407(get_importer)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       26    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       40    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 dataclasses.py:637(_hash_fn)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
       98    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 markers.py:275(Marker)
       84    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
      309    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4783(<genexpr>)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:828(__contains__)
       76    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:664(__init__)
        2    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        1    0.000    0.000    0.000    0.000 __init__.py:1612(get_resource_stream)
       42    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
        1    0.000    0.000    0.000    0.000 core.py:2808(__new__)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2061(setWhitespaceChars)
       16    0.000    0.000    0.000    0.000 __init__.py:2366(_is_egg_path)
      177    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4781(<lambda>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       78    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
       13    0.000    0.000    0.000    0.000 core.py:8406(_replace_return_type)
        1    0.000    0.000    0.000    0.000 sprite.py:267(DirtySprite)
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
        1    0.000    0.000    0.000    0.000 _data_classes.py:5(PowerState)
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        2    0.000    0.000    0.000    0.000 typing.py:2356(<dictcomp>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6754(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 threading.py:1386(__init__)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1190(setName)
        1    0.000    0.000    0.000    0.000 plistlib.py:631(_BinaryPlistWriter)
        9    0.000    0.000    0.000    0.000 sre_compile.py:440(_bytes_to_codes)
      182    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        9    0.000    0.000    0.000    0.000 typing.py:722(__init__)
        2    0.000    0.000    0.000    0.000 core.py:2978(__array_finalize__)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1069(wrapper)
      403    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        7    0.000    0.000    0.000    0.000 specifiers.py:305(_require_version_compare)
      503    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      141    0.000    0.000    0.000    0.000 __init__.py:912(_added_new)
        1    0.000    0.000    0.000    0.000 extras.py:213(_fromnxfunction)
      2/1    0.000    0.000    0.000    0.000 pyparsing.py:3939(parseImpl)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4565(_escapeRegexRangeChars)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       17    0.000    0.000    0.000    0.000 copyreg.py:109(_slotnames)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
       56    0.000    0.000    0.000    0.000 version.py:437(<genexpr>)
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
        1    0.000    0.000    0.000    0.000 _globals.py:65(_CopyMode)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3098(__init__)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
       41    0.000    0.000    0.000    0.000 types.py:176(__get__)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
       54    0.000    0.000    0.000    0.000 typing.py:1330(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1288(addParseAction)
        6    0.000    0.000    0.000    0.000 core.py:1146(__init__)
      104    0.000    0.000    0.000    0.000 traceback.py:309(walk_stack)
        1    0.000    0.000    0.000    0.000 datetime.py:2185(timezone)
        4    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:71(_DTypeDict)
       21    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 numerictypes.py:441(_construct_lookups)
        1    0.000    0.000    0.000    0.000 sysconfig.py:88(_getuserbase)
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
       31    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
       61    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
